Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
8970727,"Anno Dracula (Anno Dracula, #1)",Kim Newman,"Newman, Kim",,"=""""","=""""",0,3.77,Titan Books,Paperback,547,2011,1992,,2022/01/15,to-read,to-read (#25),to-read,,,,0,0
20943,How to Read and Why,Harold Bloom,"Bloom, Harold",,"=""0684859076""","=""9780684859071""",0,3.60,Scribner,Paperback,288,2001,2000,,2022/01/15,to-read,to-read (#24),to-read,,,,0,0
911868,Arundel,Kenneth Roberts,"Roberts, Kenneth",N.C. Wyeth,"=""0892723645""","=""9780892723645""",0,4.22,Down East Books,Paperback,496,1995,1930,,2022/01/12,to-read,to-read (#23),to-read,,,,0,0
41881472,The Psychology of Money,Morgan Housel,"Housel, Morgan",,"=""0857197681""","=""9780857197689""",4,4.30,Harriman House,Paperback,252,2020,2020,2022/01/10,2021/12/26,"economics, non-fiction","economics (#2), non-fiction (#7)",read,"It was pretty good, some of the ideas were a bit basic especially if you have read a few finance books before and/or already have a decent degree of financial literacy. However I really enjoyed a few chapters, in particular the chapter on freedom and the postscript detailing the psychology of the American consumer.",,,1,0
30065,"The Walking Dead, Vol. 5: The Best Defense",Robert Kirkman,"Kirkman, Robert","Charlie Adlard, Cliff Rathburn","=""158240612X""","=""9781582406121""",5,4.27,Image Comics,Paperback,136,2009,2006,2022/01/06,2022/01/05,"fiction, graphic-novels, horror","fiction (#11), graphic-novels (#5), horror (#5)",read,,,,1,0
138397,"The Walking Dead, Vol. 4: The Heart's Desire",Robert Kirkman,"Kirkman, Robert","Charlie Adlard, Cliff Rathburn","=""1582405301""","=""9781582405308""",4,4.20,Image Comics,Paperback,136,2005,2005,2022/01/05,2022/01/04,graphic-novels,graphic-novels (#3),read,,,,1,0
30069,"The Walking Dead, Vol. 3: Safety Behind Bars",Robert Kirkman,"Kirkman, Robert","Charlie Adlard, Cliff Rathburn","=""1582404879""","=""9781582404875""",5,4.29,Image Comics,Comics,136,2005,2005,2022/01/04,2022/01/04,graphic-novels,graphic-novels (#4),read,Uh I think I'm about ready to buy the entire collection at this point....,,,1,0
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",0,4.32,Ecco,Paperback,408,2012,2011,,2022/01/04,to-read,to-read (#22),to-read,,,,0,0
138396,"The Walking Dead, Vol. 2: Miles Behind Us",Robert Kirkman,"Kirkman, Robert","Charlie Adlard, Cliff Rathburn","=""1582404135""","=""9781582404134""",5,4.23,Image Comics,Comics,136,2004,2004,2022/01/04,2022/01/02,"fiction, graphic-novels, horror","fiction (#10), graphic-novels (#2), horror (#1)",read,Even better than the first one,,,1,0
40542121,Lord of the Flies,William Golding,"Golding, William",,"=""""","=""""",3,3.70,Penguin Books,Kindle Edition,189,2018,1954,2020/11/01,2020/10/29,"fiction, classics","fiction (#4), classics (#4)",read,,,,1,0
